Month,Bike Type,Average Daily Rides,Planned Fleet,Fleet Reduction,Reduction Percent
1,classic_bike,969.5208235016518,1035,2966,74.14
1,electric_bike,955.897359498613,1020,2979,74.49
2,classic_bike,1282.6148593971272,1369,2632,65.79
2,electric_bike,1250.4691203471875,1335,2664,66.61
3,classic_bike,1816.3121342298593,1938,2063,51.57000000000001
3,electric_bike,1794.7909716430358,1915,2084,52.11
4,classic_bike,2221.2091987400336,2371,1630,40.739999999999995
4,electric_bike,2221.966258683427,2371,1628,40.71
11,classic_bike,2636.1616665213983,2813,1188,29.7
11,electric_bike,2719.126090404441,2902,1097,27.43
12,classic_bike,1795.1777167919156,1916,2085,52.12
12,electric_bike,1804.3258190245444,1926,2073,51.83
