start_station_name,end_station_name,member_casual,avgTemp,season,date,day_name,time_period,rideable_type,daily_rides,trip_duration
12 St & Sinatra Dr N,12 St & Sinatra Dr N,member,11.6,winter,2022-01-01,Saturday,Night,classic_bike,592,1.0
Grove St PATH,Liberty Light Rail,member,11.6,winter,2022-01-01,Saturday,Afternoon,classic_bike,592,512.0
Liberty Light Rail,Liberty Light Rail,casual,11.6,winter,2022-01-01,Saturday,Afternoon,classic_bike,592,3281.0
City Hall,Liberty Light Rail,casual,11.6,winter,2022-01-01,Saturday,Evening,classic_bike,592,492.0
Washington St,Harborside,member,11.6,winter,2022-01-01,Saturday,Night,classic_bike,592,155.0
Newport Pkwy,Harborside,member,11.6,winter,2022-01-01,Saturday,Afternoon,classic_bike,592,296.0
Grove St PATH,Hoboken Ave at Monmouth St,member,11.6,winter,2022-01-01,Saturday,Evening,electric_bike,592,492.0
Newport Pkwy,Newport Pkwy,casual,11.6,winter,2022-01-01,Saturday,Afternoon,electric_bike,592,4.0
Harborside,Newport Pkwy,casual,11.6,winter,2022-01-01,Saturday,Afternoon,electric_bike,592,512.0
Hoboken Terminal - Hudson St & Hudson Pl,Mama Johnson Field - 4 St & Jackson St,member,11.6,winter,2022-01-01,Saturday,Night,electric_bike,592,750.0
Hoboken Terminal - River St & Hudson Pl,Grand St,casual,11.6,winter,2022-01-01,Saturday,Morning,classic_bike,592,1684.0
Columbus Dr at Exchange Pl,Montgomery St,casual,11.6,winter,2022-01-01,Saturday,Morning,classic_bike,592,631.0
Willow Ave & 12 St,11 St & Washington St,member,11.6,winter,2022-01-01,Saturday,Night,classic_bike,592,199.0
12 St & Sinatra Dr N,South Waterfront Walkway - Sinatra Dr & 1 St,member,11.6,winter,2022-01-01,Saturday,Afternoon,electric_bike,592,414.0
7 St & Monroe St,7 St & Monroe St,casual,11.6,winter,2022-01-01,Saturday,Afternoon,electric_bike,592,2157.0
8 St & Washington St,Riverview Park,member,11.6,winter,2022-01-01,Saturday,Night,electric_bike,592,335.0
Newark Ave,Hoboken Ave at Monmouth St,member,11.6,winter,2022-01-01,Saturday,Afternoon,electric_bike,592,561.0
Newark Ave,Journal Square,member,11.6,winter,2022-01-01,Saturday,Night,classic_bike,592,1370.0
Hoboken Terminal - River St & Hudson Pl,,casual,11.6,winter,2022-01-01,Saturday,Evening,electric_bike,592,89981.0
Hoboken Terminal - River St & Hudson Pl,,casual,11.6,winter,2022-01-01,Saturday,Afternoon,classic_bike,592,89983.0
JC Medical Center,,casual,11.6,winter,2022-01-01,Saturday,Night,classic_bike,592,89990.0
Bloomfield St & 15 St,4 St & Grand St,member,11.6,winter,2022-01-01,Saturday,Night,classic_bike,592,537.0
Lincoln Park,Monmouth and 6th,casual,11.6,winter,2022-01-01,Saturday,Afternoon,classic_bike,592,1161.0
JC Medical Center,City Hall,casual,11.6,winter,2022-01-01,Saturday,Afternoon,classic_bike,592,2302.0
Columbus Dr at Exchange Pl,Columbus Drive,member,11.6,winter,2022-01-01,Saturday,Afternoon,classic_bike,592,727.0
Marin Light Rail,Lafayette Park,casual,11.6,winter,2022-01-01,Saturday,Night,electric_bike,592,454.0
Columbus Park - Clinton St & 9 St,9 St HBLR - Jackson St & 8 St,member,11.6,winter,2022-01-01,Saturday,Afternoon,classic_bike,592,562.0
Adams St & 2 St,Washington St,casual,11.6,winter,2022-01-01,Saturday,Afternoon,electric_bike,592,958.0
Glenwood Ave,Washington St,member,11.6,winter,2022-01-01,Saturday,Afternoon,classic_bike,592,1220.0
Hamilton Park,Manila & 1st,member,11.6,winter,2022-01-01,Saturday,Morning,classic_bike,592,218.0
4 St & Grand St,Newport Pkwy,member,11.6,winter,2022-01-01,Saturday,Night,classic_bike,592,762.0
Glenwood Ave,Lincoln Park,member,11.6,winter,2022-01-01,Saturday,Afternoon,electric_bike,592,400.0
Hoboken Terminal - River St & Hudson Pl,14 St Ferry - 14 St & Shipyard Ln,casual,11.6,winter,2022-01-01,Saturday,Afternoon,classic_bike,592,557.0
12 St & Sinatra Dr N,Newport PATH,member,11.6,winter,2022-01-01,Saturday,Afternoon,classic_bike,592,957.0
Journal Square,Bergen Ave,member,11.6,winter,2022-01-01,Saturday,Night,electric_bike,592,405.0
